strategy,accuracy,picks_at_600s,dps_at_600s,headroom_at_180s,headroom_at_600s,purge_kill_rate_pct,mega_ttk_sec,boss_ttk_sec
random,0.15,33,9.8,0.12,0.29,0,302,102
random,0.25,44,28.4,0.81,0.85,2,96,32
random,0.35,46,43,1.76,1.28,13,61,20
random,0.5,47,65.1,2.65,1.94,42,41,14
random,0.75,47,98,4.25,2.93,81,27,9
random,1,47,130.7,5.67,3.9,92,20,7
greedy,0.15,46,39.3,3.57,1.17,28,52,17
greedy,0.25,47,64.4,6.9,1.92,59,32,11
greedy,0.35,47,90,9.71,2.69,82,23,8
greedy,0.5,47,128.6,14.27,3.84,98,16,5
greedy,0.75,47,193,21.4,5.76,100,11,4
greedy,1,47,257.3,28.54,7.68,100,8,3
